ID,Northing,Easting,Lat,Long,Height,Valve ID
127,839214.126,820557.58,22.3240355,114.2054703,4.572,---
128,839266.435,820564.662,22.32409936,114.2059781,5.063,---
129,839272.98,820568.135,22.32413072,114.2060416,4.93,---
130,839202.911,820569.316,22.3241415,114.2053615,4.464,---
131,839201.975,820569.908,22.32414685,114.2053524,4.462,---
132,839214.216,820571.215,22.32415863,114.2054712,4.445,N520903
133,839225.175,820571.63,22.32416236,114.2055776,4.442,Y654700
134,839216.673,820571.739,22.32416336,114.2054951,4.422,N520899
135,839274.046,820571.892,22.32416464,114.2060519,5.009,---
136,839272.187,820571.947,22.32416514,114.2060339,4.974,---
137,839215.236,820571.985,22.32416558,114.2054811,4.431,N500360
138,839217.342,820572.168,22.32416723,114.2055016,4.417,Y657433
139,839290.219,820573.668,22.32418065,114.2062089,4.82,---
140,839263.131,820577.567,22.32421591,114.205946,4.8,---
141,839213.7,820579.509,22.32423353,114.2054662,4.404,Y657424
142,839213.185,820579.814,22.32423629,114.2054612,4.383,N520853
143,839272.998,820580.612,22.32424339,114.2060418,4.986,---
144,839214.101,820580.843,22.32424558,114.2054701,4.459,N520879
145,839271.346,820581.057,22.32424741,114.2060258,4.913,---
146,839273.139,820581.535,22.32425173,114.2060432,4.976,---
147,839271.159,820581.941,22.32425539,114.2060239,4.914,---
148,839209.702,820582.066,22.32425663,114.2054274,4.585,---
149,839210.466,820582.377,22.32425944,114.2054348,4.576,N520868
150,839210.069,820582.476,22.32426033,114.205431,4.584,N520857
151,839273.394,820588.62,22.32431571,114.2060456,4.969,D500363
